Basic Parameters: 2024-09-21_19-17-05 model=svhn-defended-trades dataset=svhn n_ex=1000 eps=5.0 p=0.11 n_iter=20000
Clean accuracy: 93.85%
387: attack success rate=99.2%, average queries=23.8, median queries=7.0
388: attack success rate=99.2%, average queries=23.8, median queries=7.0
389: attack success rate=99.2%, average queries=23.8, median queries=7.0
390: attack success rate=99.2%, average queries=23.8, median queries=7.0
391: attack success rate=99.2%, average queries=23.8, median queries=7.0
392: attack success rate=99.2%, average queries=23.8, median queries=7.0
393: attack success rate=99.2%, average queries=23.8, median queries=7.0
394: attack success rate=99.2%, average queries=23.8, median queries=7.0
395: attack success rate=99.2%, average queries=23.8, median queries=7.0
396: attack success rate=99.3%, average queries=24.1, median queries=7.0
397: attack success rate=99.3%, average queries=24.1, median queries=7.0
398: attack success rate=99.3%, average queries=24.1, median queries=7.0
399: attack success rate=99.3%, average queries=24.1, median queries=7.0
400: attack success rate=99.3%, average queries=24.1, median queries=7.0
401: attack success rate=99.3%, average queries=24.1, median queries=7.0
402: attack success rate=99.3%, average queries=24.1, median queries=7.0
403: attack success rate=99.3%, average queries=24.1, median queries=7.0
404: attack success rate=99.3%, average queries=24.1, median queries=7.0
405: attack success rate=99.3%, average queries=24.1, median queries=7.0
406: attack success rate=99.3%, average queries=24.1, median queries=7.0
407: attack success rate=99.3%, average queries=24.1, median queries=7.0
408: attack success rate=99.3%, average queries=24.1, median queries=7.0
409: attack success rate=99.3%, average queries=24.1, median queries=7.0
410: attack success rate=99.3%, average queries=24.1, median queries=7.0
411: attack success rate=99.3%, average queries=24.1, median queries=7.0
412: attack success rate=99.3%, average queries=24.1, median queries=7.0
413: attack success rate=99.3%, average queries=24.1, median queries=7.0
414: attack success rate=99.3%, average queries=24.1, median queries=7.0
415: attack success rate=99.3%, average queries=24.1, median queries=7.0
416: attack success rate=99.3%, average queries=24.1, median queries=7.0
417: attack success rate=99.3%, average queries=24.1, median queries=7.0
418: attack success rate=99.3%, average queries=24.1, median queries=7.0
419: attack success rate=99.3%, average queries=24.1, median queries=7.0
420: attack success rate=99.3%, average queries=24.1, median queries=7.0
421: attack success rate=99.3%, average queries=24.1, median queries=7.0
422: attack success rate=99.3%, average queries=24.1, median queries=7.0
423: attack success rate=99.3%, average queries=24.1, median queries=7.0
424: attack success rate=99.4%, average queries=24.5, median queries=7.0
425: attack success rate=99.4%, average queries=24.5, median queries=7.0
426: attack success rate=99.4%, average queries=24.5, median queries=7.0
427: attack success rate=99.4%, average queries=24.5, median queries=7.0
428: attack success rate=99.4%, average queries=24.5, median queries=7.0
429: attack success rate=99.4%, average queries=24.5, median queries=7.0
430: attack success rate=99.4%, average queries=24.5, median queries=7.0
431: attack success rate=99.4%, average queries=24.5, median queries=7.0
432: attack success rate=99.4%, average queries=24.5, median queries=7.0
433: attack success rate=99.4%, average queries=24.5, median queries=7.0
434: attack success rate=99.4%, average queries=24.5, median queries=7.0
435: attack success rate=99.4%, average queries=24.5, median queries=7.0
436: attack success rate=99.4%, average queries=24.5, median queries=7.0
437: attack success rate=99.4%, average queries=24.5, median queries=7.0
438: attack success rate=99.4%, average queries=24.5, median queries=7.0
439: attack success rate=99.4%, average queries=24.5, median queries=7.0
440: attack success rate=99.4%, average queries=24.5, median queries=7.0
441: attack success rate=99.4%, average queries=24.5, median queries=7.0
442: attack success rate=99.4%, average queries=24.5, median queries=7.0
443: attack success rate=99.4%, average queries=24.5, median queries=7.0
444: attack success rate=99.4%, average queries=24.5, median queries=7.0
445: attack success rate=99.4%, average queries=24.5, median queries=7.0
446: attack success rate=99.4%, average queries=24.5, median queries=7.0
447: attack success rate=99.4%, average queries=24.5, median queries=7.0
448: attack success rate=99.4%, average queries=24.5, median queries=7.0
449: attack success rate=99.4%, average queries=24.5, median queries=7.0
450: attack success rate=99.4%, average queries=24.5, median queries=7.0
451: attack success rate=99.4%, average queries=24.5, median queries=7.0
452: attack success rate=99.4%, average queries=24.5, median queries=7.0
453: attack success rate=99.4%, average queries=24.5, median queries=7.0
454: attack success rate=99.4%, average queries=24.5, median queries=7.0
455: attack success rate=99.4%, average queries=24.5, median queries=7.0
456: attack success rate=99.4%, average queries=24.5, median queries=7.0
457: attack success rate=99.4%, average queries=24.5, median queries=7.0
458: attack success rate=99.4%, average queries=24.5, median queries=7.0
459: attack success rate=99.4%, average queries=24.5, median queries=7.0
460: attack success rate=99.4%, average queries=24.5, median queries=7.0
461: attack success rate=99.4%, average queries=24.5, median queries=7.0
462: attack success rate=99.4%, average queries=24.5, median queries=7.0
463: attack success rate=99.4%, average queries=24.5, median queries=7.0
464: attack success rate=99.4%, average queries=24.5, median queries=7.0
465: attack success rate=99.4%, average queries=24.5, median queries=7.0
466: attack success rate=99.4%, average queries=24.5, median queries=7.0
467: attack success rate=99.4%, average queries=24.5, median queries=7.0
468: attack success rate=99.4%, average queries=24.5, median queries=7.0
