Basic Parameters: 2024-09-21_15-38-53 model=cifar10-defended-trades dataset=cifar10 n_ex=1000 eps=5.0 p=0.11 n_iter=20000
Clean accuracy: 85.30%
290: attack success rate=87.4%, average queries=47.9, median queries=17.0
291: attack success rate=87.4%, average queries=47.9, median queries=17.0
292: attack success rate=87.4%, average queries=47.9, median queries=17.0
293: attack success rate=87.5%, average queries=48.2, median queries=17.0
294: attack success rate=87.5%, average queries=48.2, median queries=17.0
295: attack success rate=87.6%, average queries=48.5, median queries=17.0
296: attack success rate=87.7%, average queries=48.7, median queries=17.0
297: attack success rate=87.7%, average queries=48.7, median queries=17.0
298: attack success rate=87.9%, average queries=49.3, median queries=17.0
299: attack success rate=87.9%, average queries=49.3, median queries=17.0
300: attack success rate=87.9%, average queries=49.3, median queries=17.0
301: attack success rate=88.0%, average queries=49.6, median queries=17.0
302: attack success rate=88.0%, average queries=49.6, median queries=17.0
303: attack success rate=88.0%, average queries=49.6, median queries=17.0
304: attack success rate=88.1%, average queries=49.9, median queries=17.0
305: attack success rate=88.2%, average queries=50.2, median queries=17.0
306: attack success rate=88.2%, average queries=50.2, median queries=17.0
307: attack success rate=88.3%, average queries=50.5, median queries=17.0
308: attack success rate=88.3%, average queries=50.5, median queries=17.0
309: attack success rate=88.3%, average queries=50.5, median queries=17.0
310: attack success rate=88.4%, average queries=50.8, median queries=17.0
311: attack success rate=88.4%, average queries=50.8, median queries=17.0
312: attack success rate=88.5%, average queries=51.1, median queries=17.0
313: attack success rate=88.7%, average queries=51.6, median queries=17.0
314: attack success rate=88.8%, average queries=51.9, median queries=17.5
315: attack success rate=88.8%, average queries=51.9, median queries=17.5
316: attack success rate=88.8%, average queries=51.9, median queries=17.5
317: attack success rate=88.8%, average queries=51.9, median queries=17.5
318: attack success rate=88.8%, average queries=51.9, median queries=17.5
319: attack success rate=88.9%, average queries=52.2, median queries=18.0
320: attack success rate=88.9%, average queries=52.2, median queries=18.0
321: attack success rate=88.9%, average queries=52.2, median queries=18.0
322: attack success rate=89.0%, average queries=52.5, median queries=18.0
323: attack success rate=89.0%, average queries=52.5, median queries=18.0
324: attack success rate=89.0%, average queries=52.5, median queries=18.0
325: attack success rate=89.0%, average queries=52.5, median queries=18.0
326: attack success rate=89.0%, average queries=52.5, median queries=18.0
327: attack success rate=89.1%, average queries=52.9, median queries=18.0
328: attack success rate=89.1%, average queries=52.9, median queries=18.0
329: attack success rate=89.1%, average queries=52.9, median queries=18.0
330: attack success rate=89.1%, average queries=52.9, median queries=18.0
331: attack success rate=89.1%, average queries=52.9, median queries=18.0
332: attack success rate=89.1%, average queries=52.9, median queries=18.0
333: attack success rate=89.1%, average queries=52.9, median queries=18.0
334: attack success rate=89.1%, average queries=52.9, median queries=18.0
335: attack success rate=89.1%, average queries=52.9, median queries=18.0
336: attack success rate=89.1%, average queries=52.9, median queries=18.0
337: attack success rate=89.2%, average queries=53.2, median queries=18.0
338: attack success rate=89.2%, average queries=53.2, median queries=18.0
339: attack success rate=89.2%, average queries=53.2, median queries=18.0
340: attack success rate=89.2%, average queries=53.2, median queries=18.0
341: attack success rate=89.2%, average queries=53.2, median queries=18.0
342: attack success rate=89.3%, average queries=53.5, median queries=18.0
343: attack success rate=89.3%, average queries=53.5, median queries=18.0
344: attack success rate=89.3%, average queries=53.5, median queries=18.0
345: attack success rate=89.4%, average queries=53.8, median queries=18.0
346: attack success rate=89.5%, average queries=54.2, median queries=18.0
347: attack success rate=89.6%, average queries=54.5, median queries=18.0
348: attack success rate=89.6%, average queries=54.5, median queries=18.0
349: attack success rate=89.7%, average queries=54.8, median queries=18.0
350: attack success rate=89.7%, average queries=54.8, median queries=18.0
351: attack success rate=89.7%, average queries=54.8, median queries=18.0
352: attack success rate=89.7%, average queries=54.8, median queries=18.0
353: attack success rate=89.7%, average queries=54.8, median queries=18.0
354: attack success rate=89.7%, average queries=54.8, median queries=18.0
355: attack success rate=89.7%, average queries=54.8, median queries=18.0
356: attack success rate=89.8%, average queries=55.2, median queries=18.0
357: attack success rate=89.8%, average queries=55.2, median queries=18.0
358: attack success rate=89.9%, average queries=55.5, median queries=18.0
359: attack success rate=89.9%, average queries=55.5, median queries=18.0
360: attack success rate=90.0%, average queries=55.8, median queries=18.0
361: attack success rate=90.0%, average queries=55.8, median queries=18.0
362: attack success rate=90.1%, average queries=56.2, median queries=18.0
363: attack success rate=90.2%, average queries=56.5, median queries=18.0
364: attack success rate=90.4%, average queries=57.2, median queries=18.5
365: attack success rate=90.5%, average queries=57.5, median queries=19.0
366: attack success rate=90.6%, average queries=57.9, median queries=19.0
367: attack success rate=90.6%, average queries=57.9, median queries=19.0
368: attack success rate=90.6%, average queries=57.9, median queries=19.0
369: attack success rate=90.6%, average queries=57.9, median queries=19.0
370: attack success rate=90.6%, average queries=57.9, median queries=19.0
371: attack success rate=90.6%, average queries=57.9, median queries=19.0
372: attack success rate=90.6%, average queries=57.9, median queries=19.0
373: attack success rate=90.6%, average queries=57.9, median queries=19.0
374: attack success rate=90.6%, average queries=57.9, median queries=19.0
375: attack success rate=90.7%, average queries=58.2, median queries=19.0
376: attack success rate=90.7%, average queries=58.2, median queries=19.0
377: attack success rate=90.8%, average queries=58.6, median queries=19.0
378: attack success rate=90.8%, average queries=58.6, median queries=19.0
379: attack success rate=90.8%, average queries=58.6, median queries=19.0
380: attack success rate=90.9%, average queries=58.9, median queries=19.0
381: attack success rate=90.9%, average queries=58.9, median queries=19.0
382: attack success rate=90.9%, average queries=58.9, median queries=19.0
383: attack success rate=90.9%, average queries=58.9, median queries=19.0
384: attack success rate=91.0%, average queries=59.3, median queries=19.0
385: attack success rate=91.0%, average queries=59.3, median queries=19.0
386: attack success rate=91.0%, average queries=59.3, median queries=19.0
387: attack success rate=91.1%, average queries=59.7, median queries=19.0
388: attack success rate=91.2%, average queries=60.0, median queries=19.0
389: attack success rate=91.2%, average queries=60.0, median queries=19.0
390: attack success rate=91.2%, average queries=60.0, median queries=19.0
391: attack success rate=91.2%, average queries=60.0, median queries=19.0
392: attack success rate=91.2%, average queries=60.0, median queries=19.0
393: attack success rate=91.4%, average queries=60.7, median queries=19.0
394: attack success rate=91.5%, average queries=61.1, median queries=19.0
395: attack success rate=91.6%, average queries=61.5, median queries=19.0
396: attack success rate=91.6%, average queries=61.5, median queries=19.0
397: attack success rate=91.6%, average queries=61.5, median queries=19.0
398: attack success rate=91.6%, average queries=61.5, median queries=19.0
399: attack success rate=91.6%, average queries=61.5, median queries=19.0
400: attack success rate=91.6%, average queries=61.5, median queries=19.0
401: attack success rate=91.7%, average queries=61.8, median queries=19.0
402: attack success rate=91.7%, average queries=61.8, median queries=19.0
403: attack success rate=91.7%, average queries=61.8, median queries=19.0
404: attack success rate=91.7%, average queries=61.8, median queries=19.0
405: attack success rate=91.7%, average queries=61.8, median queries=19.0
406: attack success rate=91.7%, average queries=61.8, median queries=19.0
407: attack success rate=91.7%, average queries=61.8, median queries=19.0
408: attack success rate=91.8%, average queries=62.2, median queries=19.0
409: attack success rate=91.8%, average queries=62.2, median queries=19.0
410: attack success rate=91.8%, average queries=62.2, median queries=19.0
411: attack success rate=91.8%, average queries=62.2, median queries=19.0
412: attack success rate=91.9%, average queries=62.6, median queries=19.0
413: attack success rate=91.9%, average queries=62.6, median queries=19.0
414: attack success rate=91.9%, average queries=62.6, median queries=19.0
415: attack success rate=91.9%, average queries=62.6, median queries=19.0
416: attack success rate=92.1%, average queries=63.4, median queries=20.0
417: attack success rate=92.1%, average queries=63.4, median queries=20.0
418: attack success rate=92.1%, average queries=63.4, median queries=20.0
419: attack success rate=92.2%, average queries=63.8, median queries=20.0
420: attack success rate=92.2%, average queries=63.8, median queries=20.0
421: attack success rate=92.2%, average queries=63.8, median queries=20.0
422: attack success rate=92.2%, average queries=63.8, median queries=20.0
423: attack success rate=92.2%, average queries=63.8, median queries=20.0
424: attack success rate=92.2%, average queries=63.8, median queries=20.0
425: attack success rate=92.3%, average queries=64.2, median queries=20.0
426: attack success rate=92.4%, average queries=64.5, median queries=20.0
427: attack success rate=92.5%, average queries=64.9, median queries=20.0
428: attack success rate=92.6%, average queries=65.3, median queries=20.0
429: attack success rate=92.6%, average queries=65.3, median queries=20.0
430: attack success rate=92.6%, average queries=65.3, median queries=20.0
431: attack success rate=92.7%, average queries=65.7, median queries=20.0
432: attack success rate=92.7%, average queries=65.7, median queries=20.0
433: attack success rate=92.7%, average queries=65.7, median queries=20.0
434: attack success rate=92.7%, average queries=65.7, median queries=20.0
435: attack success rate=92.7%, average queries=65.7, median queries=20.0
436: attack success rate=92.7%, average queries=65.7, median queries=20.0
437: attack success rate=92.7%, average queries=65.7, median queries=20.0
438: attack success rate=92.7%, average queries=65.7, median queries=20.0
439: attack success rate=92.7%, average queries=65.7, median queries=20.0
440: attack success rate=92.7%, average queries=65.7, median queries=20.0
441: attack success rate=92.7%, average queries=65.7, median queries=20.0
442: attack success rate=92.8%, average queries=66.1, median queries=20.0
443: attack success rate=92.9%, average queries=66.5, median queries=20.0
444: attack success rate=92.9%, average queries=66.5, median queries=20.0
445: attack success rate=92.9%, average queries=66.5, median queries=20.0
446: attack success rate=92.9%, average queries=66.5, median queries=20.0
447: attack success rate=93.0%, average queries=67.0, median queries=20.0
448: attack success rate=93.0%, average queries=67.0, median queries=20.0
449: attack success rate=93.1%, average queries=67.4, median queries=20.0
