Basic Parameters: 2024-09-22_15-27-05 model=imagenet_inception dataset=imagenet n_ex=1000 eps=5.0 p=0.103 n_iter=10000
Clean accuracy: 76.10%
376: attack success rate=49.8%, average queries=115.0, median queries=81.0
377: attack success rate=49.9%, average queries=115.5, median queries=81.0
378: attack success rate=50.0%, average queries=116.0, median queries=81.5
379: attack success rate=50.0%, average queries=116.0, median queries=81.5
380: attack success rate=50.1%, average queries=116.6, median queries=82.0
381: attack success rate=50.1%, average queries=116.6, median queries=82.0
382: attack success rate=50.3%, average queries=117.6, median queries=83.0
383: attack success rate=50.3%, average queries=117.6, median queries=83.0
384: attack success rate=50.3%, average queries=117.6, median queries=83.0
385: attack success rate=50.3%, average queries=117.6, median queries=83.0
386: attack success rate=50.3%, average queries=117.6, median queries=83.0
387: attack success rate=50.3%, average queries=117.6, median queries=83.0
388: attack success rate=50.3%, average queries=117.6, median queries=83.0
389: attack success rate=50.5%, average queries=118.7, median queries=85.0
390: attack success rate=50.6%, average queries=119.2, median queries=85.5
391: attack success rate=50.6%, average queries=119.2, median queries=85.5
392: attack success rate=50.6%, average queries=119.2, median queries=85.5
393: attack success rate=50.6%, average queries=119.2, median queries=85.5
394: attack success rate=50.7%, average queries=119.8, median queries=86.0
395: attack success rate=50.7%, average queries=119.8, median queries=86.0
396: attack success rate=50.7%, average queries=119.8, median queries=86.0
397: attack success rate=50.7%, average queries=119.8, median queries=86.0
398: attack success rate=50.8%, average queries=120.3, median queries=86.5
399: attack success rate=50.8%, average queries=120.3, median queries=86.5
400: attack success rate=50.8%, average queries=120.3, median queries=86.5
401: attack success rate=50.9%, average queries=120.9, median queries=87.0
402: attack success rate=50.9%, average queries=120.9, median queries=87.0
403: attack success rate=50.9%, average queries=120.9, median queries=87.0
404: attack success rate=50.9%, average queries=120.9, median queries=87.0
405: attack success rate=51.1%, average queries=122.0, median queries=87.0
406: attack success rate=51.3%, average queries=123.1, median queries=88.0
407: attack success rate=51.4%, average queries=123.7, median queries=88.0
408: attack success rate=51.4%, average queries=123.7, median queries=88.0
409: attack success rate=51.5%, average queries=124.2, median queries=88.0
410: attack success rate=51.5%, average queries=124.2, median queries=88.0
411: attack success rate=51.6%, average queries=124.8, median queries=88.5
412: attack success rate=51.6%, average queries=124.8, median queries=88.5
413: attack success rate=51.6%, average queries=124.8, median queries=88.5
414: attack success rate=51.6%, average queries=124.8, median queries=88.5
415: attack success rate=51.7%, average queries=125.3, median queries=89.0
416: attack success rate=51.8%, average queries=125.9, median queries=90.0
417: attack success rate=51.9%, average queries=126.5, median queries=91.0
418: attack success rate=51.9%, average queries=126.5, median queries=91.0
419: attack success rate=52.1%, average queries=127.6, median queries=92.0
420: attack success rate=52.1%, average queries=127.6, median queries=92.0
421: attack success rate=52.1%, average queries=127.6, median queries=92.0
422: attack success rate=52.3%, average queries=128.7, median queries=92.0
423: attack success rate=52.3%, average queries=128.7, median queries=92.0
424: attack success rate=52.3%, average queries=128.7, median queries=92.0
